date,rig_count,rig_country_canada,rig_country_united_states,rig_basin_ardmore_woodford,rig_basin_arkoma_woodford,rig_basin_barnett,rig_basin_cana_woodford,rig_basin_dj-niobrara,rig_basin_eagle_ford,rig_basin_fayetteville,rig_basin_granite_wash,rig_basin_haynesville,rig_basin_marcellus,rig_basin_mississippian,rig_basin_other,rig_basin_permian,rig_basin_utica,rig_basin_williston,rig_drillfor_gas,rig_drillfor_miscellaneous,rig_drillfor_oil,rig_state_alabama,rig_state_alaska,rig_state_alberta,rig_state_arizona,rig_state_arkansas,rig_state_british_columbia,rig_state_california,rig_state_colorado,rig_state_florida,rig_state_hawaii,rig_state_idaho,rig_state_illinois,rig_state_indiana,rig_state_kansas,rig_state_kentucky,rig_state_louisiana,rig_state_manitoba,rig_state_michigan,rig_state_mississippi,rig_state_montana,rig_state_nebraska,rig_state_nevada,rig_state_new_mexico,rig_state_new_york,rig_state_newfoundland_and_labrador,rig_state_nl_offshore,rig_state_north_dakota,rig_state_nova_scotia,rig_state_ohio,rig_state_oklahoma,rig_state_oregon,rig_state_pennsylvania,rig_state_saskatchewan,rig_state_south_dakota,rig_state_texas,rig_state_utah,rig_state_virginia,rig_state_west_virginia,rig_state_wyoming,rig_traj_directional,rig_traj_horizontal,rig_traj_other,rig_traj_vertical
2013-01-01,2259.0,502.75,1756.25,12.25,3.25,36.5,30.75,37.25,232.75,13.0,67.25,41.5,93.5,87.75,913.25,464.0,31.75,194.25,569.5,4.25,1685.25,5.25,9.25,386.75,0.0,16.0,45.0,30.75,53.25,2.0,0.0,0.0,1.75,0.75,29.75,1.0,106.0,15.75,1.75,10.75,18.25,1.75,3.0,80.0,0.0,0.0,1.0,176.0,0.0,29.0,184.5,1.0,70.25,54.25,1.25,820.5,28.25,0.0,26.0,48.25,216.75,1482.5,1.25,558.5
2013-02-01,2403.75,642.25,1761.5,12.0,3.5,34.5,32.0,39.0,236.5,12.75,69.5,40.0,89.5,90.0,1055.0,469.25,30.5,189.75,578.5,4.0,1821.25,4.5,8.5,483.0,0.0,15.75,53.75,34.0,56.0,1.25,0.0,0.0,1.5,0.75,27.0,0.0,109.0,20.5,1.0,11.5,11.75,1.0,3.0,76.5,0.0,0.0,1.0,177.0,0.0,27.5,192.75,0.75,69.5,84.0,1.0,832.75,28.0,0.0,23.0,46.25,251.0,1547.0,0.0,605.75
2013-03-01,2220.0,464.2,1755.8,11.8,2.6,35.2,32.8,41.0,227.0,13.2,69.0,41.4,91.6,86.0,876.6,474.4,29.0,188.4,538.4,4.2,1677.4,4.0,9.2,348.2,0.6,15.399999999999999,48.400000000000006,38.0,56.6,1.0,0.0,0.0,1.6,2.0,24.4,0.0,107.0,8.8,1.0,10.6,11.0,1.4000000000000001,3.0,79.0,0.0,0.0,2.2,175.4,0.0,27.400000000000002,185.8,0.0,71.4,56.599999999999994,2.0,832.8,29.2,0.0,21.8,44.2,244.6,1426.0,0.0,549.4
2013-04-01,1907.75,152.5,1755.25,10.75,2.0,37.5,32.5,43.75,228.75,13.0,67.5,39.25,81.25,80.25,581.5,469.75,33.25,186.75,444.0,7.0,1456.75,4.75,7.5,110.0,0.5,15.0,33.75,40.0,60.5,1.0,0.0,0.0,1.75,2.5,25.0,2.0,107.5,0.0,1.0,11.5,10.25,1.5,3.5,79.5,0.5,0.0,2.75,175.25,0.0,30.75,181.75,0.0,60.25,6.0,1.25,836.0,29.25,0.5,23.0,41.5,214.0,1225.5,0.0,468.25
2013-05-01,1894.6,127.6,1767.0,11.2,2.0,31.0,36.0,44.0,232.2,12.799999999999999,70.0,36.8,79.6,79.2,569.4,469.2,34.2,187.0,407.8,6.800000000000001,1480.0,5.8,7.6,87.0,0.4,14.8,28.8,41.0,60.8,1.0,0.0,0.0,4.0,1.8,27.2,1.2,106.8,0.0,1.0,11.6,9.799999999999999,1.4,3.6,76.19999999999999,0.0,0.0,2.0,175.79999999999998,0.0,32.2,187.79999999999998,0.0,58.4,9.8,1.4,837.8,30.8,1.0,23.2,42.6,219.0,1208.2,0.0,467.4
2013-06-01,1943.5,182.75,1760.75,12.5,2.0,33.25,34.5,45.5,228.5,12.0,72.5,39.0,76.0,71.5,624.25,470.0,33.0,189.0,404.75,5.0,1533.75,6.75,7.25,111.75,1.0,14.0,23.0,37.75,61.75,1.0,0.0,0.0,4.0,2.0,28.0,0.75,106.0,7.5,0.0,10.5,10.0,1.0,3.0,76.0,0.0,0.25,1.25,177.25,0.0,31.75,179.25,0.0,54.0,39.0,1.75,841.25,33.5,1.0,23.25,47.0,254.0,1242.5,0.0,447.0
2013-07-01,2055.75,290.25,1765.5,14.0,2.0,31.25,31.75,50.0,232.75,11.5,71.25,40.25,76.75,73.0,736.25,464.5,36.0,184.5,457.75,6.25,1591.75,5.5,8.0,184.5,1.0,13.5,37.0,40.75,67.5,1.25,0.0,0.0,5.5,1.25,27.5,0.0,103.25,11.25,0.0,11.75,9.5,1.5,3.0,79.5,0.0,0.5,2.5,174.0,0.0,34.0,172.5,0.0,53.25,54.5,1.0,841.0,31.5,1.0,25.5,51.5,303.75,1304.0,0.0,448.0
2013-08-01,2148.4,367.8,1780.6,13.600000000000001,2.2,31.8,26.8,50.4,233.8,11.0,72.4,43.199999999999996,86.4,71.8,820.2,466.6,36.4,181.79999999999998,516.4,6.8,1625.2,6.0,12.6,234.4,0.4,13.0,47.800000000000004,39.4,68.6,2.0,0.0,0.0,6.0,1.0,24.8,0.0,110.2,13.6,0.0,12.8,9.8,2.2,3.0,75.6,0.0,0.0,4.0,170.2,0.0,34.8,168.8,0.0,51.0,68.0,2.0,848.0,29.6,1.0,37.0,50.8,296.0,1380.8,0.0,471.6
2013-09-01,2146.75,386.75,1760.0,14.0,3.5,33.0,26.25,48.25,231.5,10.25,66.25,39.0,86.5,73.75,841.5,455.0,35.5,182.5,536.0,6.5,1604.25,5.5,11.75,257.0,0.0,12.25,50.25,37.75,68.75,2.5,0.0,0.0,6.0,1.0,28.0,0.0,111.25,10.0,0.0,12.75,12.75,0.25,2.25,72.25,0.0,0.0,5.0,169.5,0.0,34.5,165.5,0.0,51.75,64.5,1.25,837.25,29.75,0.25,35.75,49.5,279.25,1415.25,0.0,452.25
2013-10-01,2121.5,377.5,1744.0,14.0,4.75,33.0,30.0,49.5,222.75,8.75,61.5,40.25,85.75,79.0,825.0,449.0,36.25,182.0,524.5,6.0,1591.0,3.0,10.25,241.25,0.0,11.5,52.25,41.0,71.5,3.0,0.0,0.0,5.0,1.0,24.5,0.0,108.25,9.0,0.0,8.0,11.25,1.5,2.0,74.5,0.0,0.0,3.5,170.75,0.0,34.0,175.0,0.0,56.75,71.5,1.0,820.25,29.0,0.75,31.25,49.0,270.25,1426.5,0.0,424.75
2013-11-01,2141.6,385.2,1756.4,12.799999999999999,5.0,34.6,32.2,50.0,225.6,9.0,60.8,39.4,86.8,75.8,830.4,466.0,36.0,177.2,530.8,5.8,1605.0,3.8,9.0,248.20000000000002,0.0,11.6,53.0,39.6,68.8,3.0,0.0,0.0,4.4,1.0,27.0,0.2,108.4,9.4,0.0,8.4,13.200000000000001,1.0,2.0,78.4,0.0,0.0,1.4,165.2,0.0,34.2,174.2,0.0,55.6,73.2,1.0,829.0,27.8,1.0,33.0,55.6,259.2,1447.4,0.0,435.0
