lag,beta,std_err,t_stat,p_value,r_squared,n
0,14.17979768427476,1.7820542693798753,7.956995433819807,3.665251977719427e-13,0.29269414739502986,155
1,15.053934127506137,1.7000047606158828,8.85523057126755,2.0339174650415242e-15,0.34032103619808884,154
2,15.564460376130906,1.6203919536302445,9.605367603351198,2.4084240607052282e-17,0.37927286055145193,153
3,15.84546872681937,1.5640141061524757,10.131282489388619,1.0555840978617996e-18,0.4062765706963408,152
4,15.919577113093524,1.5397606542467461,10.338994615290655,3.177209823808384e-19,0.4177294951746853,151
5,15.641553916603376,1.5397475322551832,10.158518581091053,1.0085141120193455e-18,0.41081747029701465,150
6,15.081012596733524,1.5550588498143325,9.698033356444443,1.6989292731809986e-17,0.39017269769671015,149
7,14.296858324013625,1.5760017865118887,9.071600328357734,7.297802465067541e-16,0.36047358600372026,148
8,13.3710255212585,1.5949867646177722,8.383157664924434,4.11626989360549e-14,0.3264502195381239,147
9,12.4159593945055,1.611192712967502,7.706067247311297,1.9309111358395352e-12,0.2919778668024149,146
10,11.51511009535185,1.622401278124017,7.097572130038492,5.448727378733932e-11,0.2605062290163699,145
11,10.67609960328086,1.6259317345459068,6.566142585477306,9.041901237743348e-10,0.23290607541714403,144
12,9.809710548784555,1.6260041417157214,6.0330169506416995,1.3446718617023305e-08,0.20517389416229015,143
13,8.850088403267968,1.6148739617538943,5.48035859941416,1.9173643320773623e-07,0.17663686098785747,142
14,7.853936023979264,1.5886010118596565,4.9439324067817685,2.1721190819832875e-06,0.14954783781312864,141
15,6.932255508219623,1.5670854668571377,4.423661411475267,1.9530831534792087e-05,0.12419198935336295,140
16,6.062782358774852,1.5581335872579685,3.8910542769598115,0.0001551390554608285,0.09951540156857508,139
17,5.022650007606696,1.5520534117702447,3.23613219075879,0.0015217302079193957,0.07149838959456323,138
18,3.7808836006488478,1.5359153104997345,2.4616484872585045,0.015090963195308766,0.04295849703746479,137
