variable,count,missing,mean,std,min,p25,median,p75,max,skew,kurt,cv_%
wti_price_weekly,155,0,67.61,20.555,17.385,51.198,66.137,80.751,115.285,0.247,-0.62,30.403
rig_count,155,0,1076.087,538.745,287.8,745.5,945.8,1182.9,2403.75,1.176,0.464,50.065
rig_country_canada,155,0,194.387,109.749,18.0,132.125,182.5,216.875,642.25,1.503,3.05,56.459
rig_country_united_states,155,0,881.7,455.092,249.75,583.0,759.75,1011.875,1929.5,1.119,0.202,51.615
rig_basin_ardmore_woodford,155,0,3.373,3.431,0.0,1.0,2.0,5.0,14.0,1.555,1.913,101.73
rig_basin_arkoma_woodford,155,0,3.581,2.849,0.0,1.0,3.0,5.75,10.5,0.519,-0.957,79.547
rig_basin_barnett,155,0,6.897,10.307,0.0,1.0,2.25,6.0,37.5,1.837,1.886,149.426
rig_basin_cana_woodford,155,0,32.113,16.853,4.0,20.2,28.0,39.25,73.4,0.763,-0.088,52.479
rig_basin_dj-niobrara,155,0,22.902,15.187,3.25,11.9,19.4,28.875,62.8,1.04,0.315,66.313
rig_basin_eagle_ford,155,0,84.656,63.74,9.75,46.25,66.6,80.625,236.5,1.449,0.725,75.293
rig_basin_fayetteville,155,0,2.109,3.857,0.0,0.0,0.0,1.0,13.2,1.644,1.174,182.904
rig_basin_granite_wash,155,0,16.75,21.526,0.0,3.775,8.75,15.2,74.0,1.701,1.366,128.509
rig_basin_haynesville,155,0,42.025,12.805,12.4,34.75,42.0,48.75,71.0,0.117,0.352,30.47
rig_basin_marcellus,155,0,45.396,20.198,22.75,28.675,39.0,56.575,93.5,0.838,-0.518,44.492
rig_basin_mississippian,155,0,15.893,27.729,0.0,0.5,2.75,8.5,90.0,1.703,1.131,174.476
rig_basin_other,155,0,376.223,222.524,51.25,250.675,308.0,400.325,1078.0,1.448,1.399,59.147
rig_basin_permian,155,0,341.922,113.529,122.75,256.0,331.6,445.125,566.5,0.049,-0.81,33.203
rig_basin_utica,155,0,18.748,10.929,4.25,11.0,12.75,24.25,49.0,1.084,0.152,58.292
rig_basin_williston,155,0,63.498,55.672,9.5,32.45,41.5,56.75,195.5,1.552,0.871,87.674
rig_drillfor_gas,155,0,253.48,123.532,88.25,166.125,218.2,279.375,578.5,1.255,0.583,48.734
rig_drillfor_miscellaneous,155,0,2.429,1.924,0.0,1.0,2.0,4.0,7.0,0.567,-0.706,79.2
rig_drillfor_oil,155,0,820.178,419.422,189.2,564.675,703.8,922.625,1840.75,1.138,0.421,51.138
rig_state_alabama,155,0,1.419,2.007,0.0,0.0,0.5,2.0,8.75,1.531,1.34,141.431
rig_state_alaska,155,0,8.083,2.599,2.4,6.0,8.6,9.775,14.0,-0.302,-0.39,32.159
rig_state_alberta,155,0,134.509,78.725,8.5,90.225,122.0,150.575,483.0,1.703,4.324,58.527
rig_state_arizona,155,0,0.025,0.136,0.0,0.0,0.0,0.0,1.0,5.943,36.988,538.944
rig_state_arkansas,155,0,2.57,4.738,0.0,0.0,0.0,1.0,16.0,1.642,1.041,184.372
rig_state_british_columbia,155,0,22.25,13.344,4.75,14.0,18.0,25.7,65.25,1.444,1.302,59.973
rig_state_california,155,0,13.499,12.163,2.0,6.0,8.0,14.775,47.5,1.599,1.296,90.099
rig_state_colorado,155,0,27.852,19.101,4.25,14.0,21.25,34.275,75.6,1.071,0.134,68.581
rig_state_florida,155,0,0.417,0.745,0.0,0.0,0.0,0.9,3.0,1.838,2.582,178.393
rig_state_hawaii,155,0,0.212,0.399,0.0,0.0,0.0,0.0,1.0,1.425,0.104,188.47
rig_state_idaho,155,0,0.065,0.227,0.0,0.0,0.0,0.0,1.0,3.395,10.132,347.248
rig_state_illinois,155,0,0.956,1.23,0.0,0.0,1.0,1.225,6.0,1.914,4.356,128.725
rig_state_indiana,155,0,0.576,0.79,0.0,0.0,0.0,1.0,3.0,1.077,-0.113,137.204
rig_state_kansas,155,0,5.645,10.24,0.0,0.0,0.0,6.575,32.2,1.593,0.881,181.401
rig_state_kentucky,155,0,0.623,1.068,0.0,0.0,0.0,1.0,4.6,1.574,1.314,171.603
rig_state_louisiana,155,0,61.463,24.203,29.4,44.225,57.0,66.125,114.6,0.995,-0.029,39.377
rig_state_manitoba,155,0,3.798,3.757,0.0,1.1,3.2,4.25,20.5,1.819,3.881,98.919
rig_state_michigan,155,0,0.267,0.442,0.0,0.0,0.0,0.625,1.75,1.192,-0.235,165.124
rig_state_mississippi,155,0,3.237,4.192,0.0,0.0,2.0,4.125,15.4,1.418,0.89,129.496
rig_state_montana,155,0,2.353,3.556,0.0,0.0,1.0,2.0,18.25,2.026,3.493,151.121
rig_state_nebraska,155,0,0.485,0.872,0.0,0.0,0.0,0.625,3.25,1.644,1.404,179.659
rig_state_nevada,155,0,0.567,0.873,0.0,0.0,0.0,1.0,3.6,1.651,2.047,153.874
rig_state_new_mexico,155,0,81.482,26.134,14.75,64.475,90.75,103.325,113.75,-0.852,-0.353,32.073
rig_state_new_york,155,0,0.032,0.139,0.0,0.0,0.0,0.0,1.0,5.424,32.275,434.446
rig_state_newfoundland_and_labrador,155,0,0.025,0.132,0.0,0.0,0.0,0.0,1.0,6.109,39.808,524.965
rig_state_nl_offshore,155,0,1.623,0.986,0.0,1.0,1.6,2.2,5.0,0.641,0.363,60.79
rig_state_north_dakota,155,0,61.08,52.262,9.0,31.575,39.5,56.675,186.5,1.518,0.795,85.563
rig_state_nova_scotia,155,0,0.027,0.144,0.0,0.0,0.0,0.0,1.0,5.725,33.067,538.508
rig_state_ohio,155,0,17.917,10.245,4.25,10.775,12.75,23.0,46.0,1.094,0.157,57.179
rig_state_oklahoma,155,0,88.926,56.994,10.0,43.2,65.6,129.05,213.5,0.648,-0.758,64.092
rig_state_oregon,155,0,0.011,0.1,0.0,0.0,0.0,0.0,1.0,8.984,81.262,886.502
rig_state_pennsylvania,155,0,31.526,14.584,13.25,19.5,24.75,42.325,71.4,0.804,-0.49,46.259
rig_state_saskatchewan,155,0,32.155,19.65,1.0,19.375,32.75,40.1,88.75,0.528,0.185,61.108
