variable,count,missing,mean,std,min,p25,median,p75,max,skew,kurt,cv_%
wti_price_weekly,227,0,69.016,21.369,15.71,54.235,66.21,88.015,116.37,-0.001,-0.797,30.962
fed_funds,227,0,1.654,1.903,0.05,0.12,0.39,2.41,5.33,1.016,-0.511,115.057
unemployment,227,0,5.109,2.096,3.5,3.8,4.3,5.6,13.2,2.593,7.287,41.02
indpro,227,0,100.036,3.305,85.96,99.292,100.458,101.464,103.198,-3.329,12.011,3.304
cpi,227,0,265.369,30.048,232.282,238.992,254.277,294.913,323.291,0.671,-1.08,11.323
ppi,227,0,217.624,30.075,182.6,194.8,204.0,253.211,272.274,0.601,-1.311,13.82
ng_price,227,0,3.227,1.417,1.49,2.52,2.82,3.64,7.28,1.623,1.999,43.903
recession,227,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
t_bill_3m,227,0,1.646,1.872,0.02,0.09,0.76,2.4,5.32,0.955,-0.57,113.706
treasury_2y,227,0,1.885,1.589,0.13,0.47,1.38,3.04,5.02,0.621,-0.986,84.32
treasury_10y,227,0,2.566,1.037,0.67,1.81,2.4,2.91,4.38,0.405,-0.629,40.421
sp500,227,0,3306.054,1366.347,1513.17,2100.31,2863.7,4323.92,6664.36,0.694,-0.486,41.329
sp500_ret_w,227,0,0.317,1.808,-5.964,-0.685,0.361,1.45,6.584,-0.067,1.178,570.313
